queue_id,capture_date,broad_category_slug,sub_category,micro_niche,keyword,rank,shop_name,product_title,price,currency,sold_count,review_count,rating,product_url,shop_url,video_flag,live_flag,notes,tiktok_search_url,tiktok_tag_url,google_shop_query_url
KW-0011,2026-05-10,appliances,Garment care,Steamers and lint removers,garment steamer,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=garment+steamer,https://www.tiktok.com/tag/garment-steamer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22garment+steamer%22+Malaysia
KW-0011,2026-05-10,appliances,Garment care,Steamers and lint removers,garment steamer,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=garment+steamer,https://www.tiktok.com/tag/garment-steamer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22garment+steamer%22+Malaysia
KW-0012,2026-05-10,appliances,Garment care,Steamers and lint removers,iron brush,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=iron+brush,https://www.tiktok.com/tag/iron-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22iron+brush%22+Malaysia
KW-0012,2026-05-10,appliances,Garment care,Steamers and lint removers,iron brush,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=iron+brush,https://www.tiktok.com/tag/iron-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22iron+brush%22+Malaysia
KW-0012,2026-05-10,appliances,Garment care,Steamers and lint removers,iron brush,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=iron+brush,https://www.tiktok.com/tag/iron-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22iron+brush%22+Malaysia
KW-0013,2026-05-10,appliances,Garment care,Steamers and lint removers,lint remover,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=lint+remover,https://www.tiktok.com/tag/lint-remover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lint+remover%22+Malaysia
KW-0013,2026-05-10,appliances,Garment care,Steamers and lint removers,lint remover,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=lint+remover,https://www.tiktok.com/tag/lint-remover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lint+remover%22+Malaysia
KW-0013,2026-05-10,appliances,Garment care,Steamers and lint removers,lint remover,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=lint+remover,https://www.tiktok.com/tag/lint-remover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lint+remover%22+Malaysia
KW-0014,2026-05-10,appliances,Home cleaning,Handheld vacuums,dust cleaner,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=dust+cleaner,https://www.tiktok.com/tag/dust-cleaner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dust+cleaner%22+Malaysia
KW-0014,2026-05-10,appliances,Home cleaning,Handheld vacuums,dust cleaner,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=dust+cleaner,https://www.tiktok.com/tag/dust-cleaner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dust+cleaner%22+Malaysia
KW-0014,2026-05-10,appliances,Home cleaning,Handheld vacuums,dust cleaner,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=dust+cleaner,https://www.tiktok.com/tag/dust-cleaner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dust+cleaner%22+Malaysia
KW-0015,2026-05-10,appliances,Home cleaning,Handheld vacuums,handheld vacuum,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=handheld+vacuum,https://www.tiktok.com/tag/handheld-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22handheld+vacuum%22+Malaysia
KW-0015,2026-05-10,appliances,Home cleaning,Handheld vacuums,handheld vacuum,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=handheld+vacuum,https://www.tiktok.com/tag/handheld-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22handheld+vacuum%22+Malaysia
KW-0015,2026-05-10,appliances,Home cleaning,Handheld vacuums,handheld vacuum,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=handheld+vacuum,https://www.tiktok.com/tag/handheld-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22handheld+vacuum%22+Malaysia
KW-0016,2026-05-10,appliances,Home cleaning,Handheld vacuums,mini vacuum,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=mini+vacuum,https://www.tiktok.com/tag/mini-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+vacuum%22+Malaysia
KW-0016,2026-05-10,appliances,Home cleaning,Handheld vacuums,mini vacuum,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=mini+vacuum,https://www.tiktok.com/tag/mini-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+vacuum%22+Malaysia
KW-0016,2026-05-10,appliances,Home cleaning,Handheld vacuums,mini vacuum,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=mini+vacuum,https://www.tiktok.com/tag/mini-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+vacuum%22+Malaysia
